episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
56,30264.91,28203.91354,24208.91354
57,29434.91,29895.91354,24115.91354
58,31258.91,27509.91354,20150.91354
59,29933.91,28454.91354,21965.91354
60,30021.91,26219.91354,27680.91354
61,30329.91,28396.91354,26103.91354
62,29278.91,27814.91354,25562.91354
63,27542.91,32052.91354,23495.91354
64,30240.91,26772.91354,20029.91354
65,30468.91,27588.91354,22836.91354
66,30433.91,28589.91354,22028.91354
67,28424.91,27123.91354,23315.91354
68,32817.91,28660.91354,22531.91354
69,30691.91,32593.91354,20630.91354
70,31562.91,33096.91354,23109.91354
71,31240.91,28832.91354,21566.91354
72,31046.91,32739.91354,21689.91354
73,28682.91,29953.91354,23437.91354
74,29147.91,33888.91354,23523.91354
75,27185.91,31550.91354,24340.91354
76,29117.91,33175.91354,24852.91354
77,31372.91,30132.91354,21817.91354
78,30421.91,31499.91354,23876.91354
79,31951.91,32538.91354,23307.91354
80,29585.91,31651.91354,23936.91354
81,26509.91,33557.91354,22315.91354
82,30245.91,33079.91354,22967.91354
83,29151.91,33112.91354,23109.91354
84,30045.91,32628.91354,24512.91354
85,32223.91,35948.91354,23344.91354
86,31920.91,33585.91354,22500.91354
87,30185.91,33240.91354,23705.91354
88,30671.91,33041.91354,26539.91354
89,28182.91,34371.91354,27096.91354
90,30747.91,33451.91354,22531.91354
91,31251.91,32454.91354,23674.91354
92,32595.91,33280.91354,25678.91354
93,32580.91,31673.91354,23958.91354
94,31300.91,32225.91354,22464.91354
95,31953.91,36063.91354,24625.91354
96,31711.91,32180.91354,25834.91354
97,31452.91,29475.91354,25146.91354
98,32696.91,34217.91354,25368.91354
99,29889.91,30439.91354,22286.91354
100,30185.91,31908.91354,21935.91354
101,29174.91,32765.91354,24572.91354
102,30221.91,32523.91354,23169.91354
103,31835.91,31418.91354,24896.91354
104,29707.91,35146.91354,23777.91354
105,30633.91,33869.91354,23684.91354
106,30228.91,33690.91354,22301.91354
107,29747.91,34510.91354,22621.91354
108,32426.91,34501.91354,22272.91354
109,29299.91,31412.91354,23475.91354
110,29752.91,34207.91354,24417.91354
111,31322.91,32467.91354,22510.91354
112,30616.91,32314.91354,24023.91354
113,31727.91,34172.91354,22926.91354
114,32899.91,30674.91354,24352.91354
115,31557.91,31291.91354,21377.91354
116,30750.91,33845.91354,23513.91354
117,31333.91,33961.91354,23563.91354
118,30189.91,33851.91354,27394.91354
119,31600.91,33807.91354,22129.91354
120,30952.91,34093.91354,21535.91354
121,30885.91,33726.91354,22669.91354
122,29564.91,32386.91354,22306.91354
123,32310.91,34337.91354,24581.91354
124,29962.91,33326.91354,20249.91354
125,27786.91,33283.91354,24216.91354
126,30433.91,35429.91354,23018.91354
127,32205.91,34598.91354,23808.91354
128,32951.91,34533.91354,22217.91354
129,32889.91,31708.91354,23740.91354
130,31959.91,32009.91354,23092.91354
131,29449.91,33390.91354,21749.91354
132,27870.91,33678.91354,23432.91354
133,29697.91,34873.91354,23623.91354
134,27343.91,35027.91354,23781.91354
135,32899.91,30948.91354,23167.91354
136,31117.91,33435.91354,21152.91354
137,32427.91,31825.91354,23014.91354
138,31489.91,33276.91354,25060.91354
139,32861.91,31540.91354,21743.91354
140,29906.91,30519.91354,23846.91354
141,32022.91,35370.91354,20553.91354
142,29070.91,32551.91354,23885.91354
143,29976.91,32342.91354,22796.91354
144,32159.91,33161.91354,21664.91354
145,32712.91,31718.91354,21411.91354
146,29984.91,30657.91354,25189.91354
147,30092.91,35279.91354,22381.91354
148,32542.91,35328.91354,18640.91354
149,32174.91,34743.91354,16121.91354
150,32190.91,34400.91354,19553.91354
151,30813.91,35287.91354,18538.91354
152,29584.91,33627.91354,17820.91354
153,32813.91,33475.91354,18120.91354
154,31152.91,34612.91354,16935.91354
155,32153.91,33727.91354,16361.91354
156,30889.91,34960.91354,18630.91354
157,31469.91,35549.91354,17585.91354
158,32418.91,33531.91354,17209.91354
159,30433.91,32866.91354,17192.91354
160,31776.91,33837.91354,16926.91354
161,28879.91,33323.91354,16035.91354
162,31240.91,33870.91354,19510.91354
163,30692.91,33485.91354,17707.91354
164,29852.91,32378.91354,16225.91354
165,28570.91,34559.91354,15999.91354
166,29979.91,33116.91354,16863.91354
167,31281.91,33629.91354,16377.91354
168,31344.91,34210.91354,18473.91354
169,33322.91,32441.91354,17002.91354
170,30549.91,36389.91354,17289.91354
171,31333.91,33432.91354,18177.91354
172,32267.91,35223.91354,17101.91354
173,31408.91,31339.91354,18318.91354
174,31281.91,35327.91354,15525.91354
175,30073.91,33867.91354,19091.91354
176,29111.91,31945.91354,18541.91354
177,29452.91,33168.91354,19171.91354
178,31690.91,33023.91354,17187.91354
179,31542.91,34085.91354,17143.91354
180,30280.91,34115.91354,17524.91354
181,29797.91,33714.91354,17812.91354
182,31494.91,34236.91354,19704.91354
183,32028.91,31540.91354,18271.91354
184,30677.91,33730.91354,16258.91354
185,32523.91,34113.91354,19849.91354
186,33827.91,33174.91354,18365.91354
187,32894.91,34265.91354,18855.91354
188,34343.91,33649.91354,19017.91354
189,32286.91,34466.91354,17342.91354
190,32741.91,35007.91354,16438.91354
191,32879.91,33268.91354,17803.91354
192,35554.91,33219.91354,17881.91354
193,33463.91,32148.91354,17087.91354
194,29300.91,31967.91354,18225.91354
195,35465.91,34788.91354,16786.91354
196,32394.91,32377.91354,17675.91354
197,34471.91,34566.91354,18441.91354
198,34219.91,32741.91354,18547.91354
199,36223.91,34029.91354,16911.91354
200,34700.91,30265.91354,18577.91354
201,31325.91,32772.91354,17087.91354
202,35302.91,32587.91354,17213.91354
203,34067.91,32899.91354,17013.91354
204,33308.91,32068.91354,17321.91354
205,36470.91,31869.91354,16571.91354
206,32746.91,32165.91354,19879.91354
207,31927.91,33785.91354,18922.91354
208,34265.91,31350.91354,20913.91354
209,33944.91,34161.91354,18286.91354
210,35961.91,31953.91354,19856.91354
